episode,surge_thresh,max_surge_mult,max_disc_mult
226,0.65,1.8,0.75
227,0.65,1.8,0.75
228,0.65,1.8,0.75
229,0.65,1.8,0.75
230,0.65,1.8,0.75
231,0.65,1.8,0.75
232,0.65,1.8,0.75
233,0.65,1.8,0.75
234,0.65,1.8,0.75
235,0.65,1.8,0.75
236,0.65,1.8,0.73
237,0.65,1.8,0.71
238,0.65,1.8,0.69
239,0.65,1.8,0.69
240,0.65,1.8,0.69
241,0.65,1.8,0.69
242,0.65,1.8,0.69
243,0.65,1.8,0.69
244,0.65,1.8,0.69
245,0.65,1.8,0.69
246,0.65,1.8,0.69
247,0.65,1.8,0.69
248,0.65,1.8,0.69
249,0.65,1.8,0.69
250,0.65,1.8,0.69
251,0.65,1.8,0.69
252,0.65,1.8,0.69
253,0.65,1.8,0.69
254,0.65,1.8,0.69
255,0.65,1.8,0.69
256,0.65,1.8,0.69
257,0.65,1.8,0.69
258,0.65,1.8,0.69
259,0.65,1.8,0.69
260,0.65,1.8,0.69
261,0.65,1.8,0.69
262,0.65,1.8,0.7
263,0.65,1.8,0.71
264,0.65,1.8,0.71
265,0.65,1.8,0.71
266,0.65,1.8,0.71
267,0.65,1.8,0.71
268,0.65,1.8,0.71
269,0.65,1.8,0.72
270,0.65,1.8,0.73
271,0.65,1.8,0.73
272,0.65,1.8,0.73
273,0.65,1.8,0.73
274,0.65,1.8,0.73
275,0.65,1.8,0.73
276,0.65,1.8,0.73
277,0.65,1.8,0.73
278,0.65,1.8,0.73
279,0.65,1.8,0.73
280,0.65,1.8,0.73
281,0.65,1.8,0.73
282,0.65,1.8,0.73
283,0.65,1.8,0.73
284,0.65,1.8,0.74
285,0.65,1.8,0.74
286,0.65,1.8,0.74
287,0.65,1.8,0.74
288,0.65,1.8,0.74
289,0.65,1.8,0.74
290,0.65,1.8,0.75
291,0.65,1.8,0.75
